Country Name,Indicator Name,ChangeGDPperCapita
Vietnam,GDP per capita (constant 2010 US$),172.1226792
Lao PDR,GDP per capita (constant 2010 US$),173.5282617
Bhutan,GDP per capita (constant 2010 US$),191.329121
Cambodia,GDP per capita (constant 2010 US$),194.286842
Georgia,GDP per capita (constant 2010 US$),204.7858041
Ethiopia,GDP per capita (constant 2010 US$),205.2357966
Armenia,GDP per capita (constant 2010 US$),237.2747031
Azerbaijan,GDP per capita (constant 2010 US$),254.4374156
China,GDP per capita (constant 2010 US$),366.2165772
Myanmar,GDP per capita (constant 2010 US$),370.1234171
